descriptio,flood_cd,perimeter,Shape_Length,Shape_Area
Flood Fringe,100.000000000000000,null,0.000570473876957,0.000000014022931
Floodway,200.000000000000000,28.07386,0.000318308396984,0.000000004889470
Flood Fringe,100.000000000000000,null,0.001816226482035,0.000000071444059
Floodway,200.000000000000000,118.71089,0.001522334650742,0.000000083947708
Flood Fringe,100.000000000000000,null,0.001439278679861,0.000000054053825
Floodway,200.000000000000000,21.90378,0.000239103131792,0.000000003805761
Flood Fringe,100.000000000000000,345.82763,0.004925655258973,0.000000012989565
Flood Fringe,100.000000000000000,null,0.002096041160246,0.000000154576545
Floodway,200.000000000000000,64.31745,0.000691463633110,0.000000033690300
Flood Fringe,100.000000000000000,null,0.002260389229321,0.000000084604997
Floodway,200.000000000000000,644.8954,0.008454907358415,0.000001181609704
Floodway,200.000000000000000,180.82132,0.002387564628061,0.000000067397769
Normal River Channel,500.000000000000000,39.82658,0.000414372839831,0.000000000631260
Floodway,200.000000000000000,83.74416,0.001008444714433,0.000000051959348
Flood Fringe,100.000000000000000,383.46648,0.004904221160461,0.000000312847174
Flood Fringe,100.000000000000000,null,0.003369032348481,0.000000193840551
Flood Fringe,100.000000000000000,708.36575,0.007674284604047,0.000001504238750
Flood Fringe,100.000000000000000,1272.7064,0.016772150962562,0.000001847466609
Flood Fringe,100.000000000000000,null,0.004671135232388,0.000000333445326
Floodway,200.000000000000000,33694.79131,0.421865477473000,0.000055841968732
Floodway,200.000000000000000,467.35293,0.004904305749179,0.000000648389354
Flood Fringe,100.000000000000000,null,0.003605974080588,0.000000683800519
Flood Fringe,100.000000000000000,null,0.002091984944085,0.000000090243013
Normal River Channel,500.000000000000000,1854.74995,0.021623502086756,0.000016025262199
Flood Fringe,100.000000000000000,null,0.001725823826093,0.000000016180159
Floodway,200.000000000000000,641.41326,0.008307699626136,0.000001358647212
Flood Fringe,100.000000000000000,null,0.003903227681462,0.000000433873861
Floodway,200.000000000000000,85.82734,0.000969665451504,0.000000049724736
Normal River Channel,500.000000000000000,243.70271,0.003082655572274,0.000000408628664
Floodway,200.000000000000000,43.51441,0.000508561554323,0.000000009234064
Flood Fringe,100.000000000000000,445.84855,0.005653958052183,0.000000414045622
Flood Fringe,100.000000000000000,null,0.016467062708531,0.000002885091634
Normal River Channel,500.000000000000000,257.03515,0.003108710420099,0.000000004109769
Flood Fringe,100.000000000000000,93.58918,0.001059808403119,0.000000026733461
Flood Fringe,100.000000000000000,605.18167,0.008479696140844,0.000000497145977
Flood Fringe,100.000000000000000,2976.12682,0.035344705799257,0.000005274353602
Floodway,200.000000000000000,263.57084,0.002662790110047,0.000000219084754
Flood Fringe,100.000000000000000,3730.89187,0.047787857192356,0.000023857691970
Flood Fringe,100.000000000000000,null,0.003232992573000,0.000000195958258
Normal River Channel,500.000000000000000,258.77232,0.002691045869338,0.000000305260856
Floodway,200.000000000000000,45.86278,0.000454521698797,0.000000009185432
Floodway,200.000000000000000,2139.94718,0.025675694843534,0.000017592103903
Floodway,200.000000000000000,146.73875,0.001756966162239,0.000000058518288
Flood Fringe,100.000000000000000,null,0.002031991065684,0.000000119715309
Flood Fringe,100.000000000000000,745.19755,0.007784709098362,0.000001753162902
Floodway,200.000000000000000,115.40909,0.001216759796029,0.000000059350115
Normal River Channel,500.000000000000000,1075.87124,0.011863071714655,0.000005811014129
Floodway,200.000000000000000,246.95794,0.003325876418091,0.000000183172657
Normal River Channel,500.000000000000000,1709.76738,0.020200163179545,0.000013957531971
Floodway,200.000000000000000,34.62189,0.000388472387165,0.000000005953674
Flood Fringe,100.000000000000000,252.39567,0.002447106011554,0.000000113447188
Flood Fringe,100.000000000000000,null,0.002321968856618,0.000000268963934
Floodway,200.000000000000000,312.87284,0.003302538361830,0.000000457420907
Overland Flow,300.000000000000000,3180.10379,0.036416278892783,0.000013343871640
Flood Fringe,100.000000000000000,null,0.002421737874762,0.000000238457593
Flood Fringe,100.000000000000000,null,0.002041920067864,0.000000047639982
Floodway,200.000000000000000,33147.84841,0.033176120506207,0.000018431189079
Flood Fringe,100.000000000000000,727.73994,0.009911707243817,0.000001767928125
Floodway,200.000000000000000,279.13452,0.002856785323353,0.000000475522092
Floodway,200.000000000000000,30.04414,0.000349674290123,0.000000006881871
Flood Fringe,100.000000000000000,6663.68458,0.082013954807756,0.000070387587444
Flood Fringe,100.000000000000000,null,0.000988085385421,0.000000040703898
